AC_REG,Year,Quarter,Month,Day,ENTRY_DATE,Year,Quarter,Month,Day,FLT_NO,Year,Quarter,Month,Day,IN_HRS,IN_MNT,LNDGS,Year,Quarter,Month,Day,OFF_HRS,OFF_MNT,Year,Quarter,Month,Day,ON_HRS,ON_MNT,OPS_CODE,OPS_DATE,Year,Quarter,Month,Day,OUT_HRS,OUT_MNT,STN_FROM,STN_TO,TYPE_CODE,USER_ID
AUR,1899,Qtr 4,December,31,20020110,1899,Qtr 4,December,31,IISD,1899,Qtr 4,December,31,0,0,0,1899,Qtr 4,December,31,0,0,1899,Qtr 4,December,31,0,0,,20020109,1899,Qtr 4,December,31,0,0,ISB,ISB,,DL26
AUR,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,TRG6,1899,Qtr 4,December,31,13,25,10,1899,Qtr 4,December,31,10,55,1899,Qtr 4,December,31,13,20,TRG,20020108,1899,Qtr 4,December,31,10,35,ISB,ISB,,DL26
BAK,1899,Qtr 4,December,30,20020107,1899,Qtr 4,December,30,788,1899,Qtr 4,December,31,1,2,1,1899,Qtr 4,December,31,17,35,1899,Qtr 4,December,31,0,50,REV,20020106,1899,Qtr 4,December,31,17,11,LHR,KHI,I,DL04
BAK,1899,Qtr 4,December,30,20020105,1899,Qtr 4,December,30,788,1899,Qtr 4,December,31,5,25,1,1899,Qtr 4,December,31,22,0,1899,Qtr 4,December,31,5,22,REV,20020104,1899,Qtr 4,December,31,21,39,LHR,KHI,I,DL18
BAK,1899,Qtr 4,December,30,20020112,1899,Qtr 4,December,30,788,1899,Qtr 4,December,31,5,5,1,1899,Qtr 4,December,31,21,22,1899,Qtr 4,December,31,4,59,REV,20020111,1899,Qtr 4,December,31,20,58,LHR,KHI,I,DL49
BAK,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,213,1899,Qtr 4,December,31,20,4,1,1899,Qtr 4,December,31,18,5,1899,Qtr 4,December,31,19,54,REV,20020107,1899,Qtr 4,December,31,17,44,KHI,DXB,I,DL02
BAK,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,214,1899,Qtr 4,December,31,22,50,1,1899,Qtr 4,December,31,21,25,1899,Qtr 4,December,31,22,45,REV,20020107,1899,Qtr 4,December,31,21,12,DXB,KHI,I,DL02
BAK,1899,Qtr 4,December,31,20020107,1899,Qtr 4,December,31,302,1899,Qtr 4,December,31,7,13,1,1899,Qtr 4,December,31,5,46,1899,Qtr 4,December,31,7,10,REV,20020107,1899,Qtr 4,December,31,5,33,KHI,LHE,D,DL48
BAK,1899,Qtr 4,December,31,20020107,1899,Qtr 4,December,31,3032,1899,Qtr 4,December,31,10,14,1,1899,Qtr 4,December,31,8,44,1899,Qtr 4,December,31,10,8,REV,20020107,1899,Qtr 4,December,31,8,30,LHE,KHI,D,DL48
BAK,1899,Qtr 4,December,31,20020108,1899,Qtr 4,December,31,308,1899,Qtr 4,December,31,12,58,1,1899,Qtr 4,December,31,11,15,1899,Qtr 4,December,31,12,50,REV,20020108,1899,Qtr 4,December,31,11,2,KHI,ISB,D,DL48
